drug,disease,target,association_score,max_phase,action_type,priority_score,boxed_warning,contraindications,serious_ae_reports,disease_trial_count,disease_max_trial_phase,disease_trial_has_results,pubmed_result_count,disease_burden_estimate,storage_requires_cold_chain,patent_status,eml_listed,resistance_notes,manufacturing_notes
DEXAMETHASONE SODIUM PHOSPHATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,CONTRAINDICATIONS Systemic fungal infections.,11465,5,4,False,0,,True,,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,CONTRAINDICATIONS Methylprednisolone Sodium Succinate Sterile Powder is contraindicated: in systemic fungal infections and patients with known hypersensitivity to the product and its constituents; The methylprednisolone sodium succinate for injection 40 mg presentation includes lactose monohydrate produced from cow’s milk. This presentation is therefore contraindicated in patients with a known or ,17980,0,0,False,0,,False,,,,
DESONIDE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,"CONTRAINDICATIONS Desonide cream, 0.05% is contraindicated in those patients with a history of hypersensitivity to any of the components of the preparation.",2910,0,0,False,0,,True,,,,
PREDNICARBATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,,,280,0,0,False,0,,,,,,
BECLOMETHASONE DIPROPIONATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,4 CONTRAINDICATIONS QVAR REDIHALER is contraindicated in: the primary treatment of status asthmaticus or other acute episodes of asthma where intensive measures are required [see Warnings and Precautions ( 5.2 )] . in patients with known hypersensitivity to beclomethasone dipropionate or any of the ingredients in QVAR REDIHALER [see Warnings and Precautions ( 5.6 )] . Primary treatment of status a,7423,0,0,False,0,,False,,,,
BISANTRENE,Scabies,FTO,0.5586521891688788,3.0,INHIBITOR,67.3,,,1,0,0,False,0,,,,,,
PROTHROMBIN COMPLEX CONCENTRATE,Dengue,PROS1,0.5132923560491462,3.0,EXOGENOUS PROTEIN,65.5,,,319,0,0,False,0,,,,,,
DOXYCYCLINE,Lymphatic filariasis,MMP8,0.09239496367117545,4.0,INHIBITOR,63.7,False,CONTRAINDICATIONS This drug is contraindicated in persons who have shown hypersensitivity to any of the tetracyclines.,52682,6,4,False,79,,False,,,,
DOXYCYCLINE CALCIUM,Lymphatic filariasis,MMP8,0.09239496367117545,4.0,INHIBITOR,63.7,,,57,6,4,False,0,,,,,,
DOXYCYCLINE HYCLATE,Lymphatic filariasis,MMP8,0.09239496367117545,4.0,INHIBITOR,63.7,False,CONTRAINDICATIONS This drug is contraindicated in persons who have shown hypersensitivity to any of the tetracyclines.,10502,6,4,False,0,,False,,,,
DOXYCYCLINE,Lymphatic filariasis,MMP7,0.09239496367117545,4.0,INHIBITOR,63.7,False,CONTRAINDICATIONS This drug is contraindicated in persons who have shown hypersensitivity to any of the tetracyclines.,52682,6,4,False,79,,False,,,,
DOXYCYCLINE CALCIUM,Lymphatic filariasis,MMP7,0.09239496367117545,4.0,INHIBITOR,63.7,,,57,6,4,False,0,,,,,,
DOXYCYCLINE HYCLATE,Lymphatic filariasis,MMP7,0.09239496367117545,4.0,INHIBITOR,63.7,False,CONTRAINDICATIONS This drug is contraindicated in persons who have shown hypersensitivity to any of the tetracyclines.,10502,6,4,False,0,,False,,,,
DUPILUMAB,Schistosomiasis,IL4R,0.09146540907765181,4.0,ANTAGONIST,63.7,False,4 CONTRAINDICATIONS DUPIXENT is contraindicated in patients who have known hypersensitivity to dupilumab or any excipients of DUPIXENT [see Warnings and Precautions (5.1) ] . Known hypersensitivity to dupilumab or any excipients in DUPIXENT. ( 4 ),6179,0,0,False,0,,True,,,,
LEBRIKIZUMAB,Schistosomiasis,IL13,0.08447659459582649,4.0,INHIBITOR,63.4,False,4 CONTRAINDICATIONS EBGLYSS is contraindicated in patients with prior serious hypersensitivity to lebrikizumab-lbkz or any excipients of EBGLYSS [see Warnings and Precautions ( 5.1 )] . Prior serious hypersensitivity to lebrikizumab-lbkz or any excipients in EBGLYSS. ( 4 ),116,0,0,False,0,,True,,,,
TRALOKINUMAB,Schistosomiasis,IL13,0.08447659459582649,4.0,INHIBITOR,63.4,False,4 CONTRAINDICATIONS ADBRY is contraindicated in patients who have known hypersensitivity to tralokinumab-ldrm or any excipients in ADBRY [see Warnings and Precautions (5.1) ] . Known hypersensitivity to tralokinumab-ldrm or any excipients in ADBRY. ( 4 ),134,0,0,False,0,,True,,,,
LEBRIKIZUMAB,Schistosomiasis,IL13,0.08447659459582649,4.0,INHIBITOR,63.4,False,4 CONTRAINDICATIONS EBGLYSS is contraindicated in patients with prior serious hypersensitivity to lebrikizumab-lbkz or any excipients of EBGLYSS [see Warnings and Precautions ( 5.1 )] . Prior serious hypersensitivity to lebrikizumab-lbkz or any excipients in EBGLYSS. ( 4 ),116,0,0,False,0,,True,,,,
DASATINIB ANHYDROUS,Schistosomiasis,KIT,0.07816100621227716,4.0,INHIBITOR,63.1,,,,0,0,False,0,,,,,,
PAZOPANIB HYDROCHLORIDE,Schistosomiasis,KIT,0.07816100621227716,4.0,INHIBITOR,63.1,True,4 CONTRAINDICATIONS None. None. ( 4 ),102,0,0,False,0,,False,,,,
